2018 rank,City,State,2018 estimate,2010 Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location : Latitude / Longitude / Coordinates,Wikipedia Link,City Summary
1,New York City, New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City),https://en.wikipedia.org/wiki/New_York_City,"Situated on one of the world's largest natural harbors,[35][36] New York City consists of five boroughs, each of which is a separate county of the State of New York.[37] The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.[38] The city and its metropolitan area constitute the premier gateway for legal immigration to the United States.[39] As many as 800 languages are spoken in New York,[40][41][42] making it the most linguistically diverse city in the world.[41][43][44] New York City is home to more than 3.2 million residents born outside the United States,[45] the largest foreign-born population of any city in the world.[46]  In 2017, the New York metropolitan area produced a gross metropolitan product (GMP) of US$1.73 trillion.[9] If greater New York City were a sovereign state, it would have the 12th highest GDP in the world.[47] New York is home to the highest number of billionaires of any city in the world.[48]"
2,Los Angeles, California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles),https://en.wikipedia.org/wiki/Los_Angeles,"Los Angeles (/lɔːs ˈændʒələs/ (listen);[a] Spanish: Los Ángeles),[16] officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of nearly four million,[11] Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America."
3,Chicago, Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago),https://en.wikipedia.org/wiki/Chicago,"Chicago (/ʃɪˈkɑːɡoʊ/ (listen), locally also /ʃɪˈkɔːɡoʊ/), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,705,994 (2018), it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States."
4,Houston, Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston),https://en.wikipedia.org/wiki/Houston,"Comprising a total area of 637.4 square miles (1,651 km2),[8] Houston is the eighth most expansive city in the United States (including consolidated city-counties). It is the largest city in the United States by total area, whose government is similarly not consolidated with that of a county or borough. Though primarily in Harris County, small portions of the city extend into Fort Bend and Montgomery counties, bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands."
5,Phoenix, Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix),"https://en.wikipedia.org/wiki/Phoenix,_Arizona","Phoenix (/ˈfiːnɪks/) is the capital and most populous city of Arizona, with 1,660,272 people (as of 2018[update]). It is also the fifth most populous city in the United States, and the most populous American state capital, and the only state capital with a population of more than one million residents.[5][6]"
6,Philadelphia, Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia),https://en.wikipedia.org/wiki/Philadelphia,"William Penn, an English Quaker, founded the city in 1682 to serve as capital of the Pennsylvania Colony.[10] Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States, who signed the Declaration of Independence in 1776 at the Second Continental Congress, and the Constitution at the Philadelphia Convention of 1787. Several other key events occurred in Philadelphia during the Revolutionary War including the First Continental Congress, the preservation of the Liberty Bell, the Battle of Germantown, and the Siege of Fort Mifflin. Philadelphia remained the nation's largest city until being overtaken by New York City in 1790; the city was also one of the nation's capitals during the revolution, serving as temporary U.S. capital while Washington, D.C. was under construction. In the 19th century, Philadelphia became a major industrial center and a railroad hub. The city grew from an influx of European immigrants, most of whom came from Ireland, Italy and Germany—the three largest reported ancestry groups in the city as of 2015[update].[11] In the early 20th century, Philadelphia became a prime destination for African Americans during the Great Migration after the Civil War,[12] as well as Puerto Ricans.[13] The city's population doubled from one million to two million people between 1890 and 1950."
7,San Antonio, Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio),https://en.wikipedia.org/wiki/San_Antonio,"The city's deep history is contrasted with its rapid recent growth during the past few decades. It was the fastest-growing of the top ten largest cities in the United States from 2000 to 2010, and the second from 1990 to 2000.[12][13] Straddling the regional divide between South and Central Texas, San Antonio anchors the southwestern corner of an urban megaregion colloquially known as the ""Texas Triangle""."
8,San Diego, California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego),https://en.wikipedia.org/wiki/San_Diego,"With an estimated population of 1,419,516 as of July 1, 2017,[9] San Diego is the eighth-largest city in the United States and second-largest in California. It is part of the San Diego–Tijuana conurbation, the second-largest transborder agglomeration between the U.S. and a bordering country after Detroit–Windsor, with a population of 4,922,723 people.[12] The city is known for its mild year-round climate, natural deep-water harbor, extensive beaches, long association with the United States Navy, and recent emergence as a healthcare and biotechnology development center."
9,Dallas, Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas),https://en.wikipedia.org/wiki/Dallas,"Dallas and nearby Fort Worth were initially developed due to the construction of major railroad lines through the area allowing access to cotton, cattle and later oil in North and East Texas. The construction of the Interstate Highway System reinforced Dallas's prominence as a transportation hub, with four major interstate highways converging in the city and a fifth interstate loop around it. Dallas then developed as a strong industrial and financial center and a major inland port, due to the convergence of major railroad lines, interstate highways and the construction of Dallas/Fort Worth International Airport, one of the largest and busiest airports in the world.[14]"
10,San Jose, California,"1,030,119","945,942",+8.90%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose),"https://en.wikipedia.org/wiki/San_Jose,_California","San Jose is a global city,[22] notable as a center of innovation, for its affluence,[23][24][25] Mediterranean climate, and extremely high cost of living.[26] San Jose's location within the booming high tech industry, as a cultural, political, and economic center has earned the city the nickname ""Capital of Silicon Valley"". San Jose is one of the wealthiest major cities in the United States and the world, and has the third highest GDP per capita in the world (after Zürich, Switzerland and Oslo, Norway), according to the Brookings Institution.[27] The San Jose Metropolitan Area has the most millionaires and the most billionaires in the United States per capita.[28] With a median home price of $1,085,000,[29] San Jose has the most expensive housing market in the country and the fifth most expensive housing market in the world, according to the 2017 Demographia International Housing Affordability Survey.[30][31][32][33] Major global tech companies including Cisco Systems, eBay, Adobe Systems, PayPal, Broadcom, Samsung, Acer, Hewlett Packard Enterprise, and Western Digital maintain their headquarters in San Jose, in the center of Silicon Valley."
